Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
sierras-fi14m,Sierra de Ranurar,Sierras,Medida,FI14M AA3,,,,,,,,FI14M AA3,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/1.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/2.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FI14M%20AA3/3.jpg"" alt=""Sierra de Ranurar"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra de Ranurar</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Ranurado de Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FI14M",Sierra de Ranurar FI14M - Freud | WoodTools,Sierra de Ranurar FI14M. Ranurado de Madera Consultanos por medidas y stock.,Freud,si,,
sierras-fi14m,,,Medida,FI14M AE3,,,,,,,,FI14M AE3,,no,no,,,,,,si,,
sierras-fr09w,Sierra Fina para Madera,Sierras,Medida,FR09W003H,,,,,,,,FR09W003H,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/1.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/2.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/FR09W003H/3.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Fina para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,FR09W",Sierra Fina para Madera FR09W - Freud | WoodTools,Sierra Fina para Madera FR09W. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lp40m,Sierra Fina para Madera,Sierras,Medida,LP40M 016P,,,,,,,,LP40M 016P,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/1.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/2.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LP40M%20016P/3.jpg"" alt=""Sierra Fina para Madera"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra Fina para Madera</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Madera</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LP40M",Sierra Fina para Madera LP40M - Freud | WoodTools,Sierra Fina para Madera LP40M. Madera Consultanos por medidas y stock.,Freud,si,,
sierras-lu4a,Sierra para Aluminio y Plásticos,Sierras,Medida,LU4A 0100,,,,,,,,LU4A 0100,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/1.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/2.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU4A%200100/3.jpg"" alt=""Sierra para Aluminio y Plásticos"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio y Plásticos</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio y Plásticos</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU4A",Sierra para Aluminio y Plásticos LU4A - Freud | WoodTools,Sierra para Aluminio y Plásticos LU4A. Aluminio y Plásticos Consultanos por medidas y stock.,Freud,si,,
sierras-lu4a,,,Medida,LU4A 0200,,,,,,,,LU4A 0200,,no,no,,,,,,si,,
sierras-lu5b,Sierra para Aluminio,Sierras,Medida,LU5B 0200,,,,,,,,LU5B 0200,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/1.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/2.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5B/3.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio y Metales No Ferrosos</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5B",Sierra para Aluminio LU5B - Freud | WoodTools,Sierra para Aluminio LU5B. Aluminio y Metales No Ferrosos Consultanos por medidas y stock.,Freud,si,,
sierras-lu5b,,,Medida,LU5B 0600,,,,,,,,LU5B 0600,,no,no,,,,,,si,,
sierras-lu5d,Sierra para Aluminio,Sierras,Medida,LU5D 0500,,,,,,,,LU5D 0500,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/1.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/2.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LU5D/3.jpg"" alt=""Sierra para Aluminio"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Aluminio</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Aluminio</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LU5D",Sierra para Aluminio LU5D - Freud | WoodTools,Sierra para Aluminio LU5D. Aluminio Consultanos por medidas y stock.,Freud,si,,
sierras-lu5d,,,Medida,LU5D 1100,,,,,,,,LU5D 1100,,no,no,,,,,,si,,
